ID_IPEDS,STABBR,year,degree_bach,public,enroll_ftug,grant_federal_t
100654,AL,2010,1,1,1110,4005894.0
100663,AL,2010,1,1,1542,3176808.0
100690,AL,2010,1,0,4,5475.0
100706,AL,2010,1,1,600,1239983.0
100724,AL,2010,1,1,1090,4558623.0
100751,AL,2010,1,1,5489,5584992.0
100760,AL,2010,0,1,594,2138905.0
100812,AL,2010,1,1,0,
100830,AL,2010,1,1,758,1915646.0
100858,AL,2010,1,1,4183,3766435.0
100937,AL,2010,1,0,369,483737.0
101028,AL,2010,0,1,276,1144544.0
101073,AL,2010,1,0,248,581189.0
101116,AL,2010,1,0,47,212305.0
101143,AL,2010,0,1,520,1555816.0
101161,AL,2010,0,1,1035,2958593.0
101189,AL,2010,1,0,211,247951.0
101240,AL,2010,0,1,1523,5497496.0
101286,AL,2010,0,1,953,3267291.0
101295,AL,2010,0,1,1091,3432135.0
101301,AL,2010,0,1,415,1989145.0
101365,AL,2010,1,0,17,61903.0
101435,AL,2010,1,0,272,548395.0
101453,AL,2010,1,0,3,11100.0
101462,AL,2010,0,1,228,1085372.0
101471,AL,2010,0,1,297,0.0
101480,AL,2010,1,1,1246,2891180.0
101499,AL,2010,0,1,264,752898.0
101505,AL,2010,0,1,1306,3347437.0
101514,AL,2010,0,1,1436,3577105.0
101541,AL,2010,1,0,93,264963.0
101569,AL,2010,0,1,1044,4477869.0
101587,AL,2010,1,1,283,813937.0
101602,AL,2010,0,1,433,1795778.0
101648,AL,2010,0,1,231,696316.0
101675,AL,2010,1,0,343,1599836.0
101693,AL,2010,1,0,233,446849.0
101709,AL,2010,1,1,425,810870.0
101736,AL,2010,0,1,834,3503153.0
101879,AL,2010,1,1,961,2334828.0
101897,AL,2010,0,1,671,2668866.0
101912,AL,2010,1,0,455,979427.0
101949,AL,2010,0,1,432,1697831.0
101958,AL,2010,0,0,2,1850.0
101994,AL,2010,0,1,105,395056.0
102030,AL,2010,0,1,556,2464781.0
102049,AL,2010,1,0,712,668609.0
102058,AL,2010,1,0,236,610000.0
102067,AL,2010,0,1,923,2697402.0
102076,AL,2010,0,1,597,1793853.0
102094,AL,2010,1,1,1707,4125932.0
102234,AL,2010,1,0,397,979848.0
102261,AL,2010,1,0,11,44239.0
102270,AL,2010,1,0,297,1179466.0
102298,AL,2010,1,0,211,713258.0
102313,AL,2010,0,1,278,1167919.0
102368,AL,2010,1,1,1810,5050709.0
102377,AL,2010,1,0,701,3337838.0
102395,AL,2010,1,0,0,
102429,AL,2010,0,1,1006,4339734.0
102553,AK,2010,1,1,1580,2260279.0
102580,AK,2010,1,0,9,2750.0
102614,AK,2010,1,1,854,1155143.0
102632,AK,2010,1,1,208,247117.0
102669,AK,2010,1,0,45,43950.0
102711,AK,2010,0,1,298,430538.0
102845,AK,2010,1,0,622,3040400.0
103501,AK,2010,0,0,424,1169361.0
103741,AZ,2010,0,0,66,333180.0
103811,AZ,2010,0,0,1449,3965730.0
103893,AZ,2010,0,0,899,3094461.0
103909,AZ,2010,0,0,962,2878535.0
103927,AZ,2010,0,0,664,2494605.0
103945,AZ,2010,1,0,318,1365684.0
103954,AZ,2010,0,0,0,
103963,AZ,2010,0,0,1473,5115147.0
104090,AZ,2010,1,0,1971,6632450.0
104151,AZ,2010,1,1,7544,12530943.0
104160,AZ,2010,0,1,939,3345524.0
104179,AZ,2010,1,1,6804,10892442.0
104188,AZ,2010,1,0,19,42750.0
104346,AZ,2010,0,1,514,1242698.0
104364,AZ,2010,1,0,125,530736.0
104391,AZ,2010,0,0,106,381241.0
104425,AZ,2010,0,1,482,1425060.0
104434,AZ,2010,0,0,27,83110.0
104443,AZ,2010,0,0,82,302920.0
104504,AZ,2010,0,0,89,265318.0
104568,AZ,2010,0,0,143,336790.0
104577,AZ,2010,0,1,842,1499597.0
104586,AZ,2010,1,0,352,471552.0
104708,AZ,2010,0,1,2235,5379514.0
104717,AZ,2010,1,0,704,1734806.0
104911,AZ,2010,0,0,262,821724.0
105145,AZ,2010,0,1,240,673461.0
105154,AZ,2010,0,1,2417,5337246.0
105206,AZ,2010,0,1,254,1177346.0
105215,AZ,2010,0,0,1802,5339050.0
105297,AZ,2010,1,1,373,951053.0
105330,AZ,2010,1,1,3789,7620757.0
105349,AZ,2010,0,1,149,388648.0
105367,AZ,2010,1,0,0,
105428,AZ,2010,0,1,734,2626018.0
105482,AZ,2010,0,0,63,138232.0
105525,AZ,2010,0,1,3478,9054316.0
105534,AZ,2010,1,0,2089,5832315.0
105543,NM,2010,0,0,1752,5326847.0
105589,AZ,2010,1,0,76,127113.0
105659,AZ,2010,0,0,664,1789323.0
105668,AZ,2010,0,1,343,929572.0
105677,AZ,2010,0,0,19,28115.0
105701,AZ,2010,0,0,47,123243.0
105747,AZ,2010,0,1,996,1377201.0
105792,AZ,2010,0,1,424,1498253.0
105899,AZ,2010,1,0,74,143093.0
105987,AZ,2010,0,0,516,1667638.0
106041,AZ,2010,0,0,2089,6293750.0
106102,AZ,2010,1,0,84,304434.0
106111,AZ,2010,0,0,85,425466.0
106148,AZ,2010,0,1,450,1072382.0
106245,AR,2010,1,1,768,1969219.0
106263,AR,2010,1,1,0,
106306,AR,2010,1,0,268,948456.0
106315,AR,2010,0,0,9,38500.0
106324,AR,2010,0,0,34,144533.0
106342,AR,2010,1,0,203,570987.0
106351,AR,2010,0,0,40,183119.0
106360,AR,2010,0,0,42,127779.0
106397,AR,2010,1,1,3780,4320333.0
106412,AR,2010,1,1,781,3593655.0
106449,AR,2010,0,1,806,2140894.0
106458,AR,2010,1,1,1665,4200895.0
106467,AR,2010,1,1,1686,4479449.0
106485,AR,2010,1,1,691,2237351.0
106494,AR,2010,0,0,48,152937.0
106546,AR,2010,0,0,49,109351.0
106625,AR,2010,0,1,451,1949043.0
106704,AR,2010,1,1,1828,4105380.0
106713,AR,2010,1,0,151,365702.0
106795,AR,2010,0,1,182,662779.0
106810,AR,2010,1,0,55,183612.0
106829,AR,2010,0,1,72,342900.0
106883,AR,2010,0,1,235,1086422.0
106892,AR,2010,0,0,306,689258.0
106908,AR,2010,0,0,303,856526.0
106980,AR,2010,0,1,456,2063983.0
106999,AR,2010,0,1,271,1206228.0
107044,AR,2010,1,0,988,1152379.0
107071,AR,2010,1,1,799,2183013.0
107080,AR,2010,1,0,404,470856.0
107099,AR,2010,0,0,35,164976.0
107123,AR,2010,0,0,29,35654.0
107141,AR,2010,1,0,322,699852.0
107211,AR,2010,0,0,39,50673.0
107220,AR,2010,0,0,369,534854.0
107293,AR,2010,0,0,46,159404.0
107318,AR,2010,0,1,286,626592.0
107327,AR,2010,0,1,334,1375955.0
107442,AR,2010,0,0,51,274657.0
107460,AR,2010,0,1,471,1886967.0
107488,AR,2010,0,1,317,357328.0
107512,AR,2010,1,0,451,660770.0
107521,AR,2010,0,1,173,498410.0
107549,AR,2010,0,1,306,1195316.0
107558,AR,2010,1,0,204,526733.0
107585,AR,2010,0,1,536,1413079.0
107600,AR,2010,1,0,178,590497.0
107619,AR,2010,0,1,204,888801.0
107637,AR,2010,0,1,290,1144242.0
107655,AR,2010,0,0,52,136687.0
107664,AR,2010,0,1,996,3639537.0
107725,AR,2010,0,1,235,861474.0
107743,AR,2010,0,1,144,731260.0
107789,AR,2010,0,0,28,102967.0
107831,AR,2010,0,0,50,157975.0
107877,AR,2010,1,0,155,399313.0
107974,AR,2010,0,1,177,653042.0
107983,AR,2010,1,1,643,1990883.0
107992,AR,2010,0,1,192,829090.0
108065,AR,2010,0,0,16,77022.0
108092,AR,2010,1,1,1337,3794754.0
108232,CA,2010,1,0,1099,1735583.0
108348,CA,2010,0,0,96,476917.0
108649,CA,2010,0,0,117,451620.0
108667,CA,2010,0,1,218,544115.0
108807,CA,2010,0,1,945,1682660.0
108852,CA,2010,0,0,91,110125.0
108977,CA,2010,0,0,16,68900.0
109040,CA,2010,0,0,1856,4104425.0
109208,CA,2010,0,1,1432,3516241.0
109350,CA,2010,0,1,1022,2725276.0
109651,CA,2010,1,0,137,319713.0
109721,CA,2010,0,0,957,3753221.0
109730,CA,2010,0,0,121,523231.0
109785,CA,2010,1,0,1192,1714824.0
109819,CA,2010,0,1,1583,4174828.0
109907,CA,2010,0,1,267,880232.0
109934,CA,2010,0,0,159,600227.0
110060,CA,2010,1,0,32,61275.0
110097,CA,2010,1,0,874,1600476.0
110194,CA,2010,0,0,302,1472534.0
110219,CA,2010,0,0,636,1272527.0
110246,CA,2010,0,1,1223,3285166.0
110316,CA,2010,1,0,87,230169.0
110334,CA,2010,0,1,971,1571207.0
110361,CA,2010,1,0,804,1678358.0
110370,CA,2010,1,0,229,423723.0
110404,CA,2010,1,0,222,141550.0
110413,CA,2010,1,0,556,837120.0
110422,CA,2010,1,1,3459,2537510.0
110468,CA,2010,1,0,0,
110486,CA,2010,1,1,1013,3392438.0
110495,CA,2010,1,1,998,3126337.0
110510,CA,2010,1,1,1747,6075645.0
110529,CA,2010,1,1,1924,3807986.0
110538,CA,2010,1,1,1880,3808561.0
110547,CA,2010,1,1,982,3471670.0
110556,CA,2010,1,1,2583,7682530.0
110565,CA,2010,1,1,3749,7296080.0
110574,CA,2010,1,1,1192,2876769.0
110583,CA,2010,1,1,3913,9988826.0
110592,CA,2010,1,1,2013,7333923.0
110608,CA,2010,1,1,5066,15605846.0
110617,CA,2010,1,1,2625,6891894.0
110635,CA,2010,1,1,4081,6479934.0
110644,CA,2010,1,1,4437,9469856.0
110653,CA,2010,1,1,4405,9011844.0
110662,CA,2010,1,1,4626,8289201.0
110671,CA,2010,1,1,4458,14841258.0
110680,CA,2010,1,1,3944,10695517.0
110705,CA,2010,1,1,3696,7181832.0
110714,CA,2010,1,1,3280,7458643.0
110875,CA,2010,0,0,63,220518.0
110918,CA,2010,1,0,2,5750.0
111009,CA,2010,0,0,155,257323.0
111054,CA,2010,0,0,203,702977.0
111081,CA,2010,1,0,151,300472.0
111188,CA,2010,1,1,161,217926.0
111434,CA,2010,0,1,308,417176.0
111461,CA,2010,0,1,1100,1382004.0
111513,CA,2010,0,0,97,202983.0
111638,CA,2010,0,0,273,1023863.0
111708,CA,2010,0,0,185,630589.0
111717,CA,2010,0,0,512,1823625.0
111726,CA,2010,0,0,311,782598.0
111744,CA,2010,0,0,170,640385.0
111762,CA,2010,0,0,159,375902.0
111799,CA,2010,0,0,65,223850.0
111887,CA,2010,0,1,1350,3575445.0
111896,CA,2010,0,1,249,327874.0
111920,CA,2010,0,1,1064,2466204.0
111939,CA,2010,0,1,1212,3070116.0
111948,CA,2010,1,0,1174,1426047.0
111966,CA,2010,1,0,3,9750.0
112075,CA,2010,1,0,308,587449.0
112084,CA,2010,1,0,72,109080.0
112172,CA,2010,0,1,881,1967652.0
112190,CA,2010,0,1,1644,3390173.0
112260,CA,2010,1,0,314,217458.0
112288,CA,2010,0,0,417,1276712.0
112367,CA,2010,0,1,432,820907.0
112385,CA,2010,0,1,151,370061.0
112394,CA,2010,1,0,35,83250.0
112446,CA,2010,1,0,102,153394.0
112455,CA,2010,0,0,49,171166.0
112561,CA,2010,0,1,259,445050.0
112570,CA,2010,1,0,46,56000.0
112686,CA,2010,0,1,398,1004869.0
112826,CA,2010,0,1,377,858973.0
113096,CA,2010,0,1,820,1790113.0
113111,CA,2010,0,1,496,822553.0
113193,CA,2010,0,1,1199,1062021.0
113218,CA,2010,0,1,669,1283187.0
113236,CA,2010,0,1,1121,2066194.0
113333,CA,2010,0,1,2507,3035546.0
113449,CA,2010,0,0,235,926470.0
113537,CA,2010,1,0,2,0.0
113573,CA,2010,0,1,838,1779935.0
113582,CA,2010,1,0,8,25200.0
113634,CA,2010,0,1,1290,936040.0
113698,CA,2010,1,0,338,716397.0
113856,CA,2010,0,1,1583,4335682.0
113980,CA,2010,0,1,1885,2998509.0
114044,CA,2010,0,0,71,224450.0
114123,CA,2010,0,0,676,233485.0
114266,CA,2010,0,1,608,1437549.0
114354,CA,2010,1,0,825,1722713.0
114390,CA,2010,1,0,204,525093.0
114415,CA,2010,0,0,199,519933.0
114433,CA,2010,0,1,202,492418.0
114460,CA,2010,0,0,126,353380.0
114716,CA,2010,0,1,1181,817069.0
114761,CA,2010,0,0,57,229680.0
114789,CA,2010,0,1,2104,6398286.0
114813,CA,2010,1,0,231,669332.0
114859,CA,2010,0,1,1771,3175389.0
114938,CA,2010,0,1,490,1007593.0
114947,CA,2010,0,0,102,106992.0
115001,CA,2010,0,1,1803,4554208.0
115010,CA,2010,0,0,367,1010909.0
115083,CA,2010,1,0,0,
115126,CA,2010,0,1,1290,2287568.0
115296,CA,2010,0,1,1715,2460834.0
115357,CA,2010,0,0,39,160525.0
115393,CA,2010,0,1,669,1647471.0
115409,CA,2010,1,0,195,158048.0
115658,CA,2010,0,0,58,280500.0
115728,CA,2010,1,0,112,344162.0
115755,CA,2010,1,1,1282,2867651.0
115773,CA,2010,1,0,76,320999.0
115861,CA,2010,0,1,991,3481531.0
115931,CA,2010,0,0,435,1347465.0
116226,CA,2010,1,0,0,
116350,CA,2010,0,0,210,441805.0
116439,CA,2010,0,1,1087,1008681.0
